epoch,bce,kd,crf,feat,att,label_corr,akd_weight,total,val_auc,val_f1,best_val_auc
80,0.1244,0.9021,0.0,0.0,0.0,0.0,0.9,1.0265,0.84167,0.57805,0.84236
81,0.12406,0.90217,0.0,0.0,0.0,0.0,0.9,1.02623,0.84175,0.58112,0.84236
82,0.12394,0.90231,0.0,0.0,0.0,0.0,0.9,1.02625,0.84153,0.57859,0.84236
83,0.12406,0.90264,0.0,0.0,0.0,0.0,0.9,1.02669,0.84173,0.58108,0.84236
84,0.12381,0.9017,0.0,0.0,0.0,0.0,0.9,1.02551,0.84195,0.58009,0.84236
85,0.12382,0.90177,0.0,0.0,0.0,0.0,0.9,1.02559,0.84167,0.57583,0.84236
86,0.12396,0.90145,0.0,0.0,0.0,0.0,0.9,1.02541,0.84202,0.57682,0.84236
87,0.12345,0.9029,0.0,0.0,0.0,0.0,0.9,1.02635,0.84189,0.57854,0.84236
88,0.12362,0.901,0.0,0.0,0.0,0.0,0.9,1.02462,0.84172,0.57944,0.84236
89,0.12372,0.90271,0.0,0.0,0.0,0.0,0.9,1.02643,0.84192,0.57958,0.84236
90,0.12416,0.90189,0.0,0.0,0.0,0.0,0.9,1.02605,0.84179,0.58037,0.84236
91,0.12376,0.90214,0.0,0.0,0.0,0.0,0.9,1.0259,0.84195,0.58024,0.84236
92,0.12366,0.90232,0.0,0.0,0.0,0.0,0.9,1.02598,0.84189,0.58106,0.84236
93,0.1237,0.90225,0.0,0.0,0.0,0.0,0.9,1.02594,0.8419,0.58,0.84236
94,0.12353,0.90155,0.0,0.0,0.0,0.0,0.9,1.02508,0.84196,0.57972,0.84236
95,0.12386,0.9019,0.0,0.0,0.0,0.0,0.9,1.02575,0.84185,0.58022,0.84236
96,0.12347,0.90239,0.0,0.0,0.0,0.0,0.9,1.02586,0.84189,0.57989,0.84236
97,0.12356,0.90196,0.0,0.0,0.0,0.0,0.9,1.02552,0.84182,0.58023,0.84236
98,0.12391,0.90174,0.0,0.0,0.0,0.0,0.9,1.02564,0.84191,0.58022,0.84236
99,0.12344,0.90146,0.0,0.0,0.0,0.0,0.9,1.0249,0.84185,0.58044,0.84236
100,0.12342,0.90162,0.0,0.0,0.0,0.0,0.9,1.02505,0.84194,0.58107,0.84236
