model_name,method_name,model_type,lead,hz,losses,seed,macro_auc,macro_f1_0_5,macro_f1_tuned,metrics_json,auc_NORM,auc_MI,auc_STTC,auc_CD,auc_HYP,f1_tuned_NORM,f1_tuned_MI,f1_tuned_STTC,f1_tuned_CD,f1_tuned_HYP,checkpoint,predictions_csv
student_II_50hz_bce_ta_mkd_ta_crf_seed0,"II_50hz_bce,ta_mkd,ta_crf",student,II,50,"bce,ta_mkd,ta_crf",0,0.82827,0.54751,0.60267,dafd_mvkt/outputs/metrics_test_student_II_50hz_bce_ta_mkd_ta_crf_seed0.json,0.88837,0.7934,0.86778,0.84982,0.74197,0.79926,0.56761,0.62547,0.65828,0.36273,dafd_mvkt/outputs/student_II_50hz_bce_ta_mkd_ta_crf_seed0_best.pt,dafd_mvkt/outputs/predictions_test_student_II_50hz_bce_ta_mkd_ta_crf_seed0.csv
student_II_50hz_bce_teacher_mkd_ta_mkd_ta_crf_feature_seed0,"II_50hz_bce,teacher_mkd,ta_mkd,ta_crf,feature",student,II,50,"bce,teacher_mkd,ta_mkd,ta_crf,feature",0,0.83002,0.53611,0.61367,dafd_mvkt/outputs/metrics_test_student_II_50hz_bce_teacher_mkd_ta_mkd_ta_crf_feature_seed0.json,0.888,0.79618,0.86899,0.84661,0.75031,0.8,0.57619,0.66231,0.65328,0.37659,dafd_mvkt/outputs/student_II_50hz_bce_teacher_mkd_ta_mkd_ta_crf_feature_seed0_best.pt,dafd_mvkt/outputs/predictions_test_student_II_50hz_bce_teacher_mkd_ta_mkd_ta_crf_feature_seed0.csv
student_I_100hz_bce_seed0,I_100hz_bce,student,I,100,bce,0,0.81377,0.4151,0.58248,dafd_mvkt/outputs/metrics_test_student_I_100hz_bce_seed0.json,0.8724,0.76118,0.86638,0.78381,0.78508,0.78539,0.50788,0.65108,0.55059,0.41748,dafd_mvkt/outputs/student_I_100hz_bce_seed0_best.pt,dafd_mvkt/outputs/predictions_test_student_I_100hz_bce_seed0.csv
student_I_100hz_bce_ta_mkd_seed0,"I_100hz_bce,ta_mkd",student,I,100,"bce,ta_mkd",0,0.82817,0.53601,0.59773,dafd_mvkt/outputs/metrics_test_student_I_100hz_bce_ta_mkd_seed0.json,0.88318,0.77703,0.87491,0.81098,0.79476,0.78475,0.54874,0.66054,0.56742,0.42718,dafd_mvkt/outputs/student_I_100hz_bce_ta_mkd_seed0_best.pt,dafd_mvkt/outputs/predictions_test_student_I_100hz_bce_ta_mkd_seed0.csv
student_I_100hz_bce_ta_mkd_ta_crf_feature_clecg_seed0,"I_100hz_bce,ta_mkd,ta_crf,feature_clecg",student,I,100,"bce,ta_mkd,ta_crf,feature",0,0.83489,0.53195,0.60723,dafd_mvkt/outputs/metrics_test_student_I_100hz_bce_ta_mkd_ta_crf_feature_clecg_seed0.json,0.88772,0.78717,0.8775,0.81793,0.80412,0.79415,0.55477,0.66886,0.58617,0.4322,dafd_mvkt/outputs/student_I_100hz_bce_ta_mkd_ta_crf_feature_clecg_seed0_best.pt,dafd_mvkt/outputs/predictions_test_student_I_100hz_bce_ta_mkd_ta_crf_feature_clecg_seed0.csv
student_I_100hz_bce_ta_mkd_ta_crf_feature_clecgta_clecg_seed0,"I_100hz_bce,ta_mkd,ta_crf,feature_clecgta_clecg",student,I,100,"bce,ta_mkd,ta_crf,feature",0,0.82971,0.56445,0.61365,dafd_mvkt/outputs/metrics_test_student_I_100hz_bce_ta_mkd_ta_crf_feature_clecgta_clecg_seed0.json,0.88315,0.77371,0.87468,0.81382,0.80322,0.79893,0.54956,0.66442,0.59189,0.46345,dafd_mvkt/outputs/student_I_100hz_bce_ta_mkd_ta_crf_feature_clecgta_clecg_seed0_best.pt,dafd_mvkt/outputs/predictions_test_student_I_100hz_bce_ta_mkd_ta_crf_feature_clecgta_clecg_seed0.csv
student_I_100hz_bce_ta_mkd_ta_crf_feature_seed0,"I_100hz_bce,ta_mkd,ta_crf,feature",student,I,100,"bce,ta_mkd,ta_crf,feature",0,0.82918,0.53494,0.60639,dafd_mvkt/outputs/metrics_test_student_I_100hz_bce_ta_mkd_ta_crf_feature_seed0.json,0.88374,0.77664,0.87319,0.81374,0.7986,0.78966,0.55644,0.66226,0.59313,0.43045,dafd_mvkt/outputs/student_I_100hz_bce_ta_mkd_ta_crf_feature_seed0_best.pt,dafd_mvkt/outputs/predictions_test_student_I_100hz_bce_ta_mkd_ta_crf_feature_seed0.csv
student_I_50hz_bce_seed0,I_50hz_bce,student,II,50,bce,0,0.77173,0.41755,0.54309,dafd_mvkt/outputs/metrics_test_student_I_50hz_bce_seed0.json,0.85215,0.68433,0.83291,0.76968,0.7196,0.7696,0.49275,0.59861,0.53601,0.31849,dafd_mvkt/outputs/student_I_50hz_bce_seed0_best.pt,dafd_mvkt/outputs/predictions_test_student_I_50hz_bce_seed0.csv
student_I_50hz_bce_ta_mkd_ta_crf_feature_clecg_seed0,"I_50hz_bce,ta_mkd,ta_crf,feature_clecg",student,II,50,"bce,ta_mkd,ta_crf,feature",0,0.79828,0.43973,0.56773,dafd_mvkt/outputs/metrics_test_student_I_50hz_bce_ta_mkd_ta_crf_feature_clecg_seed0.json,0.86149,0.74152,0.85782,0.8095,0.72107,0.77658,0.53043,0.63902,0.57942,0.31318,dafd_mvkt/outputs/student_I_50hz_bce_ta_mkd_ta_crf_feature_clecg_seed0_best.pt,dafd_mvkt/outputs/predictions_test_student_I_50hz_bce_ta_mkd_ta_crf_feature_clecg_seed0.csv
student_I_50hz_bce_ta_mkd_ta_crf_feature_seed0,"I_50hz_bce,ta_mkd,ta_crf,feature",student,II,50,"bce,ta_mkd,ta_crf,feature",0,0.79565,0.46379,0.5705,dafd_mvkt/outputs/metrics_test_student_I_50hz_bce_ta_mkd_ta_crf_feature_seed0.json,0.86166,0.73404,0.85733,0.7946,0.73061,0.77253,0.52885,0.63692,0.56583,0.34839,dafd_mvkt/outputs/student_I_50hz_bce_ta_mkd_ta_crf_feature_seed0_best.pt,dafd_mvkt/outputs/predictions_test_student_I_50hz_bce_ta_mkd_ta_crf_feature_seed0.csv
ta_II_100hz_from_ta500_seed0,ta_II_100hz_from_ta500,ta_progressive,II,100,"bce,mkd,crf,feat_from_ta500",0,0.84127,0.57464,0.61888,dafd_mvkt/outputs/metrics_test_ta_II_100hz_from_ta500_seed0.json,0.89578,0.81117,0.87535,0.85911,0.76494,0.80702,0.56673,0.65633,0.67647,0.38786,dafd_mvkt/outputs/ta_II_100hz_from_ta500_seed0_best.pt,dafd_mvkt/outputs/predictions_test_ta_II_100hz_from_ta500_seed0.csv
ta_II_500hz_clecg_seed0,ta_II_500hz_clecg,ta_clecg,II,500,"bce,mkd,crf+clecg",0,0.84317,0.57511,0.62151,dafd_mvkt/outputs/metrics_test_ta_II_500hz_clecg_seed0.json,0.8937,0.82384,0.87258,0.86749,0.75822,0.80657,0.5975,0.64557,0.68197,0.37596,dafd_mvkt/outputs/ta_II_500hz_clecg_seed0_best.pt,dafd_mvkt/outputs/predictions_test_ta_II_500hz_clecg_seed0.csv
ta_II_500hz_seed0,ta_II_500hz,ta,II,500,"bce,mkd,crf",0,0.84076,0.55615,0.62033,dafd_mvkt/outputs/metrics_test_ta_II_500hz_seed0.json,0.89494,0.8144,0.87177,0.8606,0.76211,0.81094,0.58745,0.65756,0.66596,0.37971,dafd_mvkt/outputs/ta_II_500hz_seed0_best.pt,dafd_mvkt/outputs/predictions_test_ta_II_500hz_seed0.csv
ta_I_500hz_clecg_seed0,ta_I_500hz_clecg,ta_clecg,I,500,"bce,mkd,crf+clecg",0,0.83541,0.57874,0.61694,dafd_mvkt/outputs/metrics_test_ta_I_500hz_clecg_seed0.json,0.88653,0.78024,0.88102,0.82805,0.80122,0.80571,0.558,0.67996,0.59203,0.44898,dafd_mvkt/outputs/ta_I_500hz_clecg_seed0_best.pt,dafd_mvkt/outputs/predictions_test_ta_I_500hz_clecg_seed0.csv
ta_I_500hz_seed0,ta_I_500hz,ta,I,500,"bce,mkd,crf",0,0.82952,0.53344,0.60684,dafd_mvkt/outputs/metrics_test_ta_I_500hz_seed0.json,0.88356,0.76697,0.87796,0.81683,0.80227,0.78996,0.54398,0.67448,0.58522,0.44057,dafd_mvkt/outputs/ta_I_500hz_seed0_best.pt,dafd_mvkt/outputs/predictions_test_ta_I_500hz_seed0.csv
ta_ii_500hz,ta_ii_500hz,ta,ii,500,"bce,mkd,crf",0,0.84569,,0.62338,dafd_mvkt/outputs/metrics_test_ta_ii_500hz.json,0.89837,0.82033,0.87762,0.86818,0.76394,0.80957,0.59016,0.66291,0.6729,0.38133,,dafd_mvkt/outputs/predictions_test_ta_ii_500hz.csv
teacher,teacher_12lead_500hz,teacher,12,500,bce,0,0.91209,,0.71903,dafd_mvkt/outputs/metrics_test_teacher.json,0.94014,0.93008,0.92881,0.92522,0.8362,0.84883,0.75891,0.75536,0.75166,0.48041,dafd_mvkt/outputs/teacher_best.pt,dafd_mvkt/outputs/predictions_test_teacher.csv
student_II_100hz_bce_ta_mkd_ta_crf_feature_clecgta_clecg_seed10,"II_100hz_bce,ta_mkd,ta_crf,feature_clecgta_clecg",student,II,100,"bce,ta_mkd,ta_crf,feature",10,0.83694,0.57577,0.61572,dafd_mvkt/outputs/tuning/metrics_test_student_II_100hz_bce_ta_mkd_ta_crf_feature_clecgta_clecg_seed10.json,0.8939,0.81555,0.87451,0.8527,0.74804,0.81035,0.58545,0.66667,0.65936,0.35676,dafd_mvkt/outputs/tuning/student_II_100hz_bce_ta_mkd_ta_crf_feature_clecgta_clecg_seed10_best.pt,dafd_mvkt/outputs/tuning/predictions_test_student_II_100hz_bce_ta_mkd_ta_crf_feature_clecgta_clecg_seed10.csv
student_II_100hz_bce_ta_mkd_ta_crf_feature_clecgta_clecg_seed11,"II_100hz_bce,ta_mkd,ta_crf,feature_clecgta_clecg",student,II,100,"bce,ta_mkd,ta_crf,feature",11,0.846,0.58826,0.6303,dafd_mvkt/outputs/tuning/metrics_test_student_II_100hz_bce_ta_mkd_ta_crf_feature_clecgta_clecg_seed11.json,0.90093,0.82475,0.87555,0.86373,0.76506,0.80867,0.58917,0.66609,0.68697,0.40061,dafd_mvkt/outputs/tuning/student_II_100hz_bce_ta_mkd_ta_crf_feature_clecgta_clecg_seed11_best.pt,dafd_mvkt/outputs/tuning/predictions_test_student_II_100hz_bce_ta_mkd_ta_crf_feature_clecgta_clecg_seed11.csv
student_II_100hz_bce_ta_mkd_ta_crf_feature_clecgta_clecg_seed12,"II_100hz_bce,ta_mkd,ta_crf,feature_clecgta_clecg",student,II,100,"bce,ta_mkd,ta_crf,feature",12,0.84184,0.56137,0.62444,dafd_mvkt/outputs/tuning/metrics_test_student_II_100hz_bce_ta_mkd_ta_crf_feature_clecgta_clecg_seed12.json,0.89785,0.82173,0.87442,0.85626,0.75894,0.80917,0.60338,0.66249,0.67591,0.37127,dafd_mvkt/outputs/tuning/student_II_100hz_bce_ta_mkd_ta_crf_feature_clecgta_clecg_seed12_best.pt,dafd_mvkt/outputs/tuning/predictions_test_student_II_100hz_bce_ta_mkd_ta_crf_feature_clecgta_clecg_seed12.csv
