epoch,bce,kd,crf,feat,att,label_corr,akd_weight,mean_recoverability,mean_r500,mean_r100,total,val_auc,val_f1,best_val_auc
61,0.13467,1.00951,0.0,0.0,0.0,0.0,0.0,0.94664,0.9527,0.93756,1.14418,0.84137,0.57665,0.84457
62,0.1347,1.0098,0.0,0.0,0.0,0.0,0.0,0.94661,0.95268,0.93751,1.1445,0.84086,0.58028,0.84457
63,0.13427,1.0091,0.0,0.0,0.0,0.0,0.0,0.94679,0.95284,0.93771,1.14337,0.8407,0.58606,0.84457
64,0.13434,1.00908,0.0,0.0,0.0,0.0,0.0,0.94671,0.95277,0.93762,1.14342,0.84076,0.58787,0.84457
65,0.13437,1.01007,0.0,0.0,0.0,0.0,0.0,0.94668,0.95275,0.93759,1.14445,0.84077,0.57792,0.84457
66,0.13456,1.00903,0.0,0.0,0.0,0.0,0.0,0.94672,0.9528,0.9376,1.14359,0.84091,0.5804,0.84457
67,0.13413,1.0095,0.0,0.0,0.0,0.0,0.0,0.94673,0.95279,0.93765,1.14363,0.84074,0.58553,0.84457
68,0.13376,1.00976,0.0,0.0,0.0,0.0,0.0,0.94667,0.95277,0.93753,1.14353,0.84117,0.58037,0.84457
69,0.13391,1.00883,0.0,0.0,0.0,0.0,0.0,0.9468,0.95288,0.93769,1.14274,0.84148,0.5821,0.84457
70,0.13384,1.00899,0.0,0.0,0.0,0.0,0.0,0.9467,0.95279,0.93755,1.14283,0.84099,0.5756,0.84457
71,0.13378,1.00941,0.0,0.0,0.0,0.0,0.0,0.94669,0.95275,0.9376,1.14319,0.8409,0.58306,0.84457
72,0.13356,1.00908,0.0,0.0,0.0,0.0,0.0,0.9467,0.95276,0.9376,1.14264,0.84118,0.58672,0.84457
73,0.13366,1.0092,0.0,0.0,0.0,0.0,0.0,0.94665,0.95271,0.93755,1.14287,0.84074,0.57899,0.84457
74,0.13339,1.00957,0.0,0.0,0.0,0.0,0.0,0.94669,0.95276,0.93758,1.14296,0.84169,0.58819,0.84457
75,0.13387,1.0094,0.0,0.0,0.0,0.0,0.0,0.94668,0.95276,0.93755,1.14327,0.84113,0.5832,0.84457
76,0.13344,1.00905,0.0,0.0,0.0,0.0,0.0,0.94665,0.95272,0.93754,1.14248,0.84127,0.57509,0.84457
77,0.13347,1.0087,0.0,0.0,0.0,0.0,0.0,0.94678,0.95284,0.93767,1.14217,0.84118,0.57882,0.84457
78,0.13341,1.00933,0.0,0.0,0.0,0.0,0.0,0.94665,0.9527,0.93757,1.14274,0.84092,0.57695,0.84457
79,0.13307,1.00949,0.0,0.0,0.0,0.0,0.0,0.94665,0.95273,0.93753,1.14256,0.84108,0.58462,0.84457
80,0.1335,1.00888,0.0,0.0,0.0,0.0,0.0,0.94673,0.9528,0.93763,1.14238,0.84148,0.58502,0.84457
81,0.13337,1.00879,0.0,0.0,0.0,0.0,0.0,0.94669,0.95278,0.93755,1.14216,0.84119,0.57776,0.84457
