method_name,lead,hz,losses,n_seeds,class,auc_mean,auc_std,f1_0_5_mean,f1_0_5_std,f1_tuned_mean,f1_tuned_std
"II_50hz_bce,gated_kd,feature",II,50,"bce,gated_kd,feature",1,HYP,0.73652,0.0,0.18927,0.0,0.35889,0.0
"II_50hz_bce,gated_kd",II,50,"bce,gated_kd",1,NORM,0.88401,0.0,0.79635,0.0,0.79508,0.0
"II_50hz_bce,gated_kd",II,50,"bce,gated_kd",1,MI,0.78685,0.0,0.46333,0.0,0.55941,0.0
"II_50hz_bce,gated_kd",II,50,"bce,gated_kd",1,STTC,0.86256,0.0,0.58153,0.0,0.63289,0.0
"II_50hz_bce,gated_kd",II,50,"bce,gated_kd",1,CD,0.83658,0.0,0.61995,0.0,0.65166,0.0
"II_50hz_bce,gated_kd",II,50,"bce,gated_kd",1,HYP,0.72093,0.0,0.23853,0.0,0.34543,0.0
II_50hz_bce_gated_kd_ta_crf_feature_cadap,II,50,bce_gated_kd_ta_crf_feature_cadap,1,NORM,0.88492,0.0,0.79807,0.0,0.79598,0.0
II_50hz_bce_gated_kd_ta_crf_feature_cadap,II,50,bce_gated_kd_ta_crf_feature_cadap,1,MI,0.79026,0.0,0.5071,0.0,0.55722,0.0
II_50hz_bce_gated_kd_ta_crf_feature_cadap,II,50,bce_gated_kd_ta_crf_feature_cadap,1,STTC,0.86109,0.0,0.59978,0.0,0.64556,0.0
II_50hz_bce_gated_kd_ta_crf_feature_cadap,II,50,bce_gated_kd_ta_crf_feature_cadap,1,CD,0.84176,0.0,0.63294,0.0,0.6565,0.0
II_50hz_bce_gated_kd_ta_crf_feature_cadap,II,50,bce_gated_kd_ta_crf_feature_cadap,1,HYP,0.73408,0.0,0.28726,0.0,0.35905,0.0
"II_50hz_bce,gated_kd,ta_crf,feature",II,50,"bce,gated_kd,ta_crf,feature",1,NORM,0.88492,0.0,0.79807,0.0,0.79598,0.0
"II_50hz_bce,gated_kd,ta_crf,feature",II,50,"bce,gated_kd,ta_crf,feature",1,MI,0.79026,0.0,0.5071,0.0,0.55722,0.0
"II_50hz_bce,gated_kd,ta_crf,feature",II,50,"bce,gated_kd,ta_crf,feature",1,STTC,0.86109,0.0,0.59978,0.0,0.64556,0.0
"II_50hz_bce,gated_kd,ta_crf,feature",II,50,"bce,gated_kd,ta_crf,feature",1,CD,0.84176,0.0,0.63294,0.0,0.6565,0.0
"II_50hz_bce,gated_kd,ta_crf,feature",II,50,"bce,gated_kd,ta_crf,feature",1,HYP,0.73408,0.0,0.28726,0.0,0.35905,0.0
"II_50hz_bce,gated_kd,ta_crf",II,50,"bce,gated_kd,ta_crf",1,NORM,0.88739,0.0,0.79845,0.0,0.79529,0.0
"II_50hz_bce,gated_kd,ta_crf",II,50,"bce,gated_kd,ta_crf",1,MI,0.79201,0.0,0.4603,0.0,0.57251,0.0
"II_50hz_bce,gated_kd,ta_crf",II,50,"bce,gated_kd,ta_crf",1,STTC,0.86357,0.0,0.59688,0.0,0.62979,0.0
"II_50hz_bce,gated_kd,ta_crf",II,50,"bce,gated_kd,ta_crf",1,CD,0.84587,0.0,0.61058,0.0,0.6214,0.0
"II_50hz_bce,gated_kd,ta_crf",II,50,"bce,gated_kd,ta_crf",1,HYP,0.74572,0.0,0.26705,0.0,0.36742,0.0
II_50hz_bce_prog,II,50,bce,1,NORM,0.86943,0.0,0.78467,0.0,0.78692,0.0
II_50hz_bce_prog,II,50,bce,1,MI,0.77281,0.0,0.42092,0.0,0.53368,0.0
II_50hz_bce_prog,II,50,bce,1,STTC,0.83863,0.0,0.56612,0.0,0.60392,0.0
II_50hz_bce_prog,II,50,bce,1,CD,0.80763,0.0,0.5259,0.0,0.59707,0.0
II_50hz_bce_prog,II,50,bce,1,HYP,0.7421,0.0,0.20561,0.0,0.34853,0.0
II_50hz_bce,II,50,bce,1,NORM,0.86943,0.0,0.78467,0.0,0.78692,0.0
II_50hz_bce,II,50,bce,1,MI,0.77281,0.0,0.42092,0.0,0.53368,0.0
II_50hz_bce,II,50,bce,1,STTC,0.83863,0.0,0.56612,0.0,0.60392,0.0
II_50hz_bce,II,50,bce,1,CD,0.80763,0.0,0.5259,0.0,0.59707,0.0
II_50hz_bce,II,50,bce,1,HYP,0.7421,0.0,0.20561,0.0,0.34853,0.0
"II_50hz_bce,ta_mkd,feature",II,50,"bce,ta_mkd,feature",1,NORM,0.88706,0.0,0.79148,0.0,0.8,0.0
"II_50hz_bce,ta_mkd,feature",II,50,"bce,ta_mkd,feature",1,MI,0.79509,0.0,0.48961,0.0,0.57571,0.0
"II_50hz_bce,ta_mkd,feature",II,50,"bce,ta_mkd,feature",1,STTC,0.86745,0.0,0.58419,0.0,0.63504,0.0
"II_50hz_bce,ta_mkd,feature",II,50,"bce,ta_mkd,feature",1,CD,0.84846,0.0,0.6295,0.0,0.65864,0.0
"II_50hz_bce,ta_mkd,feature",II,50,"bce,ta_mkd,feature",1,HYP,0.73643,0.0,0.23907,0.0,0.36409,0.0
"II_50hz_bce,ta_mkd_prog",II,50,"bce,ta_mkd",1,NORM,0.89025,0.0,0.80581,0.0,0.80376,0.0
"II_50hz_bce,ta_mkd_prog",II,50,"bce,ta_mkd",1,MI,0.79992,0.0,0.48533,0.0,0.57908,0.0
"II_50hz_bce,ta_mkd_prog",II,50,"bce,ta_mkd",1,STTC,0.86809,0.0,0.59117,0.0,0.64537,0.0
"II_50hz_bce,ta_mkd_prog",II,50,"bce,ta_mkd",1,CD,0.84594,0.0,0.61482,0.0,0.64783,0.0
"II_50hz_bce,ta_mkd_prog",II,50,"bce,ta_mkd",1,HYP,0.74271,0.0,0.24277,0.0,0.34622,0.0
"II_50hz_bce,ta_mkd",II,50,"bce,ta_mkd",1,NORM,0.88712,0.0,0.79828,0.0,0.79903,0.0
"II_50hz_bce,ta_mkd",II,50,"bce,ta_mkd",1,MI,0.78942,0.0,0.43926,0.0,0.5655,0.0
"II_50hz_bce,ta_mkd",II,50,"bce,ta_mkd",1,STTC,0.86281,0.0,0.54501,0.0,0.64725,0.0
"II_50hz_bce,ta_mkd",II,50,"bce,ta_mkd",1,CD,0.84501,0.0,0.64896,0.0,0.64896,0.0
"II_50hz_bce,ta_mkd",II,50,"bce,ta_mkd",1,HYP,0.73132,0.0,0.23313,0.0,0.36748,0.0
II_50hz_bce_ta_mkd_ta_crf_feature_cadap,II,50,bce_ta_mkd_ta_crf_feature_cadap,1,NORM,0.89038,0.0,0.79961,0.0,0.79776,0.0
II_50hz_bce_ta_mkd_ta_crf_feature_cadap,II,50,bce_ta_mkd_ta_crf_feature_cadap,1,MI,0.79848,0.0,0.44307,0.0,0.57862,0.0
II_50hz_bce_ta_mkd_ta_crf_feature_cadap,II,50,bce_ta_mkd_ta_crf_feature_cadap,1,STTC,0.87044,0.0,0.60068,0.0,0.63782,0.0
II_50hz_bce_ta_mkd_ta_crf_feature_cadap,II,50,bce_ta_mkd_ta_crf_feature_cadap,1,CD,0.84509,0.0,0.6181,0.0,0.64388,0.0
II_50hz_bce_ta_mkd_ta_crf_feature_cadap,II,50,bce_ta_mkd_ta_crf_feature_cadap,1,HYP,0.74553,0.0,0.26593,0.0,0.37217,0.0
"II_50hz_bce,ta_mkd,ta_crf,feature_clecg",II,50,"bce,ta_mkd,ta_crf,feature",1,NORM,0.89029,0.0,0.80324,0.0,0.7854,0.0
"II_50hz_bce,ta_mkd,ta_crf,feature_clecg",II,50,"bce,ta_mkd,ta_crf,feature",1,MI,0.79888,0.0,0.42264,0.0,0.56661,0.0
