epoch,bce,kd,kd_ema,total,val_auc,best_val_auc
78,0.18555,0.38268,0.00914,0.56868,0.8464,0.84843
79,0.18528,0.38046,0.00767,0.56612,0.84624,0.84843
80,0.18555,0.38488,0.01189,0.57102,0.84646,0.84843
81,0.18507,0.38109,0.00702,0.56652,0.84694,0.84843
82,0.18505,0.38174,0.00817,0.5672,0.84688,0.84843
83,0.18542,0.37931,0.00635,0.56505,0.84697,0.84843
84,0.18527,0.3807,0.0074,0.56634,0.84668,0.84843
85,0.18517,0.38017,0.00728,0.5657,0.84658,0.84843
86,0.18487,0.38073,0.00734,0.56596,0.84657,0.84843
87,0.18574,0.38026,0.0073,0.56636,0.84671,0.84843
88,0.18485,0.3792,0.00623,0.56436,0.84668,0.84843
89,0.18508,0.3802,0.00705,0.56563,0.84672,0.84843
90,0.1848,0.37916,0.0066,0.56429,0.8469,0.84843
91,0.18495,0.3796,0.00633,0.56487,0.84683,0.84843
92,0.18496,0.37971,0.00658,0.565,0.84654,0.84843
93,0.1849,0.3789,0.00525,0.56406,0.84686,0.84843
94,0.18511,0.37956,0.00634,0.56499,0.84673,0.84843
95,0.18492,0.38075,0.00723,0.56603,0.84675,0.84843
96,0.18492,0.37993,0.00658,0.56518,0.8468,0.84843
97,0.1844,0.37971,0.00651,0.56443,0.84673,0.84843
98,0.18494,0.38078,0.00697,0.56606,0.84678,0.84843
99,0.1849,0.37851,0.00521,0.56367,0.84677,0.84843
100,0.18468,0.37988,0.00675,0.5649,0.84677,0.84843
